Choice,FishCh,PrevChoice,PrevFish,PrevReward,PrevdComp,PrevdRel,IsCompSwitch,IsRelSwitch,Trial
1,0,0,3,0,-0.108982566249368,0.15,1,0,262
1,0,1,0,0,-0.338956167944626,0.15,0,0,263
1,0,1,0,0,-0.338956167944626,0.15,0,0,264
1,1,1,0,0,-0.338956167944626,0.15,0,0,265
1,1,1,1,1,-0.338956167944626,0.15,0,0,266
1,0,1,1,1,-0.338956167944626,0.15,0,0,267
1,1,1,0,0,-0.338956167944626,0.15,0,0,268
1,0,1,1,1,-0.338956167944626,0.15,0,0,269
0,0,1,0,0,-0.338956167944626,0.15,0,0,270
0,3,0,0,1,-0.338956167944626,0.15,0,0,271
0,3,0,3,0,-0.338956167944626,0.15,0,0,272
0,3,0,3,0,-0.338956167944626,0.15,0,0,273
0,3,0,3,1,-0.338956167944626,0.15,0,0,274
0,3,0,3,0,-0.338956167944626,0.15,0,0,275
0,3,0,3,0,-0.338956167944626,0.15,0,1,276
0,3,0,3,1,-0.338956167944626,-0.15,0,0,277
0,3,0,3,1,-0.338956167944626,-0.15,0,0,278
0,3,0,3,1,-0.338956167944626,-0.15,0,0,279
0,3,0,3,1,-0.338956167944626,-0.15,0,0,280
0,2,0,3,1,-0.338956167944626,-0.15,0,0,281
0,1,0,2,1,-0.338956167944626,-0.15,0,0,282
0,3,0,1,0,-0.338956167944626,-0.15,0,0,283
0,0,0,3,1,-0.338956167944626,-0.15,1,0,284
0,0,0,0,0,0.55,-0.15,0,0,285
0,1,0,0,0,0.55,-0.15,0,0,286
0,0,0,1,0,0.55,-0.15,0,0,287
0,0,0,0,1,0.55,-0.15,0,0,288
0,0,0,0,1,0.55,-0.15,0,0,289
1,3,0,0,0,0.55,-0.15,0,0,290
1,3,1,3,0,0.55,-0.15,0,0,291
1,3,1,3,1,0.55,-0.15,0,0,292
0,0,1,3,0,0.55,-0.15,0,0,293
1,2,0,0,0,0.55,-0.15,0,0,294
1,3,1,2,0,0.55,-0.15,0,0,295
0,0,1,3,0,0.55,-0.15,0,1,296
0,0,0,0,1,0.55,0.15,0,0,297
0,0,0,0,1,0.55,0.15,0,0,298
0,0,0,0,1,0.55,0.15,0,0,299
0,0,0,0,1,0.55,0.15,0,0,300
